Word,Ratio
"'schizophrenia',",261.2557012115813
"'schizophrenic',",69.31837315444706
"'viewed',",45.29168604513673
"'voice',",22.404195307388516
"'auditory',",15.686388825388816
"'hallucination',",13.992553412318664
"'channel',",10.604882586178356
"'delusion',",10.052544951481567
"'schizoaffective',",9.626455919001186
"'evil',",8.28506452045184
"'belief',",6.996276706159332
"'neighbor',",6.628051616361471
"'visual',",6.075713981664682
"'hearing',",5.828114352317846
"'dopamine',",5.799545164316289
"'olanzapine',",5.365565594197383
"'youtube',",5.155151257170034
"'psychosis',",5.030217744560046
"'demon',",4.333726056851732
"'link',",4.252999787165278
"'video',",4.050475987776455
"'male',",4.017000979613013
"'loud',",4.017000979613013
"'hear',",3.961049894539833
"'brief',",3.829540933897739
"'delusional',",3.7973212385404267
"'vision',",3.715725906142038
"'paranoia',",3.698260684491546
"'imagine',",3.6086058800190233
"'heard',",3.568950870348485
"'strange',",3.559509201379309
"'paranoid',",3.471836560951248
"'police',",3.3790067063803586
"'spiritual',",3.3140258081807357
"'noise',",3.314025808180735
"'character',",3.2587920447110568
"'psychotic',",3.2365047366443442
"'believed',",3.166735772261592
"'individual',",3.148324517771699
"'brother',",3.1358523776333844
"'topic',",3.113175759200085
"'negative',",3.0715361148992186
"'reality',",3.037856990832341
"'leg',",2.912325710219435
"'real',",2.8891507045678213
"'dad',",2.8307303778210455
"'passed',",2.804175683845238
"'door',",2.7156600372592137
"'god',",2.682782797098691
"'memory',",2.6512206465445898
"'study',",2.651220646544589
"'woman',",2.646082622035782
"'window',",2.62360376480975
"'sensation',",2.577575628585017
"'white',",2.549250621677489
"'wall',",2.5455560555591163
"'men',",2.52497204432818
"'soul',",2.4855193561355517
"'view',",2.430285592665873
"'connection',",2.3934630836860866
"'believe',",2.371010334308169
"'information',",2.3534386174037114
"'head',",2.351235435773489
"'name',",2.3474349474613545
"'walking',",2.3014068112366224
"'street',",2.29432555950974
"'future',",2.2855350401246457
"'kill',",2.2829955567467293
"'touch',",2.278392743124256
"'eye',",2.260335551220707
"'father',",2.25537867501189
"'research',",2.2461730477669435
"'symptom',",2.21498663710039
"'cat',",2.2093505387871577
"'listen',",2.2093505387871577
"'movie',",2.1541167753174784
"'man',",2.1527005249721025
"['dont',",2.1479796904875137
"'watch',",2.1331660374496693
"'recovery',",2.1304451624019016
"'power',",2.1172942663376926
"'specific',",2.113291819709455
"'conversation',",2.083819258174251
"'mentioned',",2.079388742387913
"'scary',",2.07126613011296
"'violent',",2.07126613011296
"'red',",2.051539786016646
"'laugh',",2.051539786016646
"'joke',",2.051539786016646
"'ability',",2.0326024956841846
"'apartment',",2.0252379938882275
"'speaking',",2.0252379938882275
"'word',",2.016032366643281
"'alot',",1.9884154849084414
"'free',",1.9884154849084414
"'saw',",1.9807970347746928
"'true',",1.978139435890827
"'room',",1.9604096330083227
"'opinion',",1.9544254766194082
"'learn',",1.9544254766194082
