Word,Ratio
"'hypomania',",96.86104411365939
"'hypomanic',",90.52434029313962
"'bp',",64.27228160812913
"'lamictal',",29.87303229673607
"'manic',",24.228573431399134
"'mania',",16.92108822402533
"'lithium',",14.871855905301508
"'bipolar',",14.352699750825327
"'depressive',",8.26034605174899
"'mixed',",7.468258074184018
"'husband',",5.496120660654905
"'swing',",5.250411737002097
"'mood',",5.250411737002097
"'depressed',",4.465867454461555
"'proud',",4.413061589290556
"'bpd',",4.149032263435566
"'exhausted',",4.023304013028428
"'productive',",3.8925466326050033
"'shift',",3.847284462458433
"'manage',",3.8149543409251696
"'spending',",3.6209736117255846
"'stable',",3.3740890472897487
"'seroquel',",3.2689345105855976
"'depression',",3.250254884810823
"'episode',",3.2411512049012225
"'sex',",3.1467984959043767
"'drinking',",3.086057055447942
"'insurance',",2.9743711810603015
"'appointment',",2.8391724910121066
"'job',",2.8146223452488788
"'emotionally',",2.7980250636061337
"'boyfriend',",2.715730208794189
"'ptsd',",2.715730208794189
"'adhd',",2.6865288086996277
"'ready',",2.65106996572766
"'phase',",2.640293258549905
"'adderall',",2.6334353539822435
"'miss',",2.586409722661132
"'hit',",2.5816200750265743
"'slept',",2.5511404991702986
"'physically',",2.5217494795946034
"'plan',",2.5177082144029455
"'sleeping',",2.504506748110196
"'schedule',",2.4688456443583537
"'sad',",2.461130501719733
"'hobby',",2.457089236528075
"['diagnosed',",2.4328416453781267
"'cycle',",2.4328416453781267
"'upset',",2.4260523198561414
"'spent',",2.4260523198561414
"'date',",2.36755966920519
"'medicated',",2.3536328476216304
"'public',",2.3345750917704424
"'latuda',",2.29792556128739
"'bought',",2.29792556128739
"'card',",2.2631085073284907
"'new',",2.24776539880423
"'excited',",2.2364837013599197
"'fuck',",2.225390032206349
"'yall',",2.1984482642619616
"'morning',",2.1894259047643074
"'team',",2.187671557084207
"'week',",2.1872886284027646
"'antidepressant',",2.172584167035351
"'hospitalized',",2.158657345451791
"'bc',",2.1424093869376377
"'spend',",2.1122346068399245
"'mistake',",2.0890232375339917
"'breakdown',",2.0890232375339917
"'staying',",2.0691277781289052
"'reaction',",2.051885046644498
"'p',",2.051885046644498
"'work',",2.0442176844885216
"'prescribed',",2.036797656595641
"'moved',",2.0193891296161914
"'incredibly',",2.007278849978313
"'relationship',",1.9958981052583793
"'wife',",1.9915354864490715
"'lose',",1.9856952064301594
"'seriously',",1.9613607063513585
"'current',",1.9613607063513585
"'broke',",1.9613607063513585
"'terrible',",1.9613607063513585
"'amazing',",1.953419974746697
"'summer',",1.9236422312292165
"'anger',",1.9110694061885032
"'therapy',",1.909497803058414
"'therapist',",1.8984965811477892
"'healthy',",1.8927816606747374
"'struggling',",1.8859237561070756
"'psych',",1.884384226510253
"'career',",1.8751470489293205
"'ton',",1.8670645185460044
"'personally',",1.8557489760093622
"'suicidal',",1.833117890936077
"'med',",1.8209319220504623
"'pay',",1.8104868058627928
"'service',",1.8104868058627925
"'appreciated',",1.8104868058627925
"'coping',",1.8104868058627923
